6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

6	    1	   546   546   546   546   546   546   546   546   546   546
12	    1	     0     0     0     0     0     0     0     0     0     0
82	    1	     0     0     0     0     0     0     0     0     0     0

